PhilSamsang,2016-07-06T16:17:56.000-05:00,sitting
PhilSamsang,2016-07-06T16:17:59.000-05:00,standing
PhilSamsang,2016-07-06T16:28:25.000-05:00,sitting
PhilSamsang,2016-07-06T16:31:26.000-05:00,standing
PhilSamsang,2016-07-06T16:31:58.000-05:00,sitting
PhilSamsang,2016-07-06T16:33:34.000-05:00,sitting
PhilSamsang,2016-07-06T16:34:55.000-05:00,sitting
PhilSamsang,2016-07-06T16:36:21.000-05:00,sitting
PhilSamsang,2016-07-06T16:41:24.000-05:00,sitting
PhilSamsang,2016-07-06T16:44:34.000-05:00,sitting
PhilSamsang,2016-07-06T16:48:44.000-05:00,sitting
PhilSamsang,2016-07-06T16:55:01.000-05:00,sitting
PhilSamsang,2016-07-06T16:58:16.000-05:00,sitting
PhilSamsang,2016-07-06T17:03:15.000-05:00,sitting
PhilSamsang,2016-07-06T17:06:17.000-05:00,sitting
PhilSamsang,2016-07-06T17:13:02.000-05:00,standing
PhilSamsang,2016-07-06T17:14:21.000-05:00,sitting
PhilSamsang,2016-07-06T17:16:04.000-05:00,standing
PhilSamsang,2016-07-06T17:19:14.000-05:00,standing
PhilSamsang,2016-07-06T17:22:18.000-05:00,standing
PhilSamsang,2016-07-06T17:26:40.000-05:00,standing
PhilSamsang,2016-07-06T17:27:14.000-05:00,sitting
PhilSamsang,2016-07-06T17:43:31.000-05:00,sitting
PhilSamsang,2016-07-06T17:49:39.000-05:00,standing
PhilSamsang,2016-07-06T17:54:02.000-05:00,standing
PhilSamsang,2016-07-06T17:55:03.000-05:00,sitting
PhilSamsang,2016-07-06T17:55:16.000-05:00,sitting
PhilSamsang,2016-07-06T17:57:02.000-05:00,standing
PhilSamsang,2016-07-06T18:00:41.000-05:00,standing
PhilSamsang,2016-07-06T18:05:02.000-05:00,standing
PhilSamsang,2016-07-06T18:10:02.000-05:00,standing
PhilSamsang,2016-07-06T18:14:33.000-05:00,sitting
PhilSamsang,2016-07-06T18:15:51.000-05:00,sitting
